Natural Language,Atomic Proposition,Ground Truth,AST
"Whenever a was enabled, b was enabled three steps later.","a : a, b : b",H(a -> Y(Y(Y(b)))),"Historically(LImplies(AtomicProposition(""a""),Yesterday(Yesterday(Yesterday(AtomicProposition(""b""))))))"
"e must held everywhere since, from some point on, d held infinitely often in the past.","e : e, d : d",H(e S O(H(d))),"Historically(Since(AtomicProposition(""e""), Once(Historically(AtomicProposition(""d"")))))"
"Whenever a held, b held as well.","a : a, b : b",H(a -> b),"Historically(LImplies(AtomicProposition(""a""),AtomicProposition(""b"")))"
Both a and b held in every time step.,"a : a, b : b",H(a & b),"Historically(LAnd(AtomicProposition(""a""),AtomicProposition(""b"")))"
"a held historically, and whenever b held, c does not held.","a : a, b : b, c : c",H(a) & H(b -> !c),"LAnd(Historically(AtomicProposition(""a"")),Historically(LImplies(AtomicProposition(""b""),Not(AtomicProposition(""c"")))))"
"If every a was previously followed by a b, then c needs to held infinitely often in the past in the past.","a : a, b : b, c : c",H(a -> O(b)) -> H(O(c)),"LImplies(Historically(LImplies(AtomicProposition(""a""),Once(AtomicProposition(""b"")))),Historically(Once(AtomicProposition(""c""))))"
"If a held infinitely often in the past, then b held infinitely often in the past as well.","a : a, b : b",H(O(a)) -> H(O(b)),"LImplies(Historically(Once(AtomicProposition(""a""))),Historically(Once(AtomicProposition(""b""))))"
Either a or b held infinitely often in the past.,"a : a, b : b",H(O(a)) | H(O(b)),"LOr(Historically(Once(AtomicProposition(""a""))),Historically(Once(AtomicProposition(""b""))))"
a never held from some point in time on.,a : a,O(H(!a)),"Once(Historically(Not(AtomicProposition(""a""))))"
"Whenever a and b do not held, c held previously.","a : a, b : b, c : c",H(!a & !b -> O(c)),"Historically(LImplies(LAnd(Not(AtomicProposition(""a"")),Not(AtomicProposition(""b""))),Once(AtomicProposition(""c""))))"
"a and b never occur at the same time, but one of them held in every time step.","a : a, b : b",H(!(a & b)) & H(a | b),"LAnd(Historically(Not(LAnd(AtomicProposition(""a""),AtomicProposition(""b"")))),Historically(LOr(AtomicProposition(""a""),AtomicProposition(""b""))))"
"Whenever the inputs a and b are the same, the outputs c and d are the same.","a : a, b : b, c : c, d : d",H((a <-> b) -> (c <-> d)),"Historically(LImplies(LEquiv(AtomicProposition(""a""),AtomicProposition(""b"")),LEquiv(AtomicProposition(""c""),AtomicProposition(""d""))))"
a can only happened if b happened before.,"a : a, b : b",H(a -> O(b)),"Historically(LImplies(AtomicProposition(""a""),Once(AtomicProposition(""b""))))"
"Once a happened, b will not happen again.","a : a, b : b",H(a -> H(!b)),"Historically(LImplies(AtomicProposition(""a""),Historically(Not(AtomicProposition(""b"")))))"
a and b will not occur at the same time.,"a : a, b : b",H(!(a & b)),"Historically(Not(LAnd(AtomicProposition(""a""),AtomicProposition(""b""))))"
"Whenever a held and b held in the previous step, then c held one step before b.","a : a, b : b, c : c",H(a & Y(b) -> Y(Y(c))),"Historically(LImplies(LAnd(AtomicProposition(""a""),Yesterday(AtomicProposition(""b""))),Yesterday(Yesterday(AtomicProposition(""c"")))))"
"Whenever a held, b held previously from the previous step on.","a : a, b : b",H(a -> O(Y(b))),"Historically(LImplies(AtomicProposition(""a""),Once(Yesterday(AtomicProposition(""b"")))))"
a held in every fifth step.,a : a,H(Y(Y(Y(Y(Y(a)))))),"Historically(Yesterday(Yesterday(Yesterday(Yesterday(Yesterday(AtomicProposition(""a"")))))))"
"Whenever a held, b must held in the previous two steps.","a : a, b : b",H(a -> (Y(b) & Y(Y(b)))),"Historically(LImplies(AtomicProposition(""a""),LAnd(Yesterday(AtomicProposition(""b"")),Yesterday(Yesterday(AtomicProposition(""b""))))))"
"If a held, b would have previously held in the past","a : a, b : b",H(a -> O(b)),"Historically(LImplies(AtomicProposition(""a""),Once(AtomicProposition(""b""))))"
"a must historically held, but if it exceeds, it allows two timestamps to recover.",a : a,H(a) & H(!a -> (Y(!a) & Y(Y(!a)))),"LAnd(Historically(AtomicProposition(""a"")),Historically(LImplies(Not(AtomicProposition(""a"")),LAnd(Yesterday(Not(AtomicProposition(""a""))),Yesterday(Yesterday(Not(AtomicProposition(""a""))))))))"
a can only held every three timestamps.,a : a,a & H(a -> (Y(!a) & Y(Y(!a))) & Y(Y(Y(a))))),ERROR
Every a was followed by a b.,"a : a, b : b",H(a -> O(b)),"Historically(LImplies(AtomicProposition(""a""),Once(AtomicProposition(""b""))))"
"Previously, a and b held.","a : a, b : b",O(a & b),"Once(LAnd(AtomicProposition(""a""),AtomicProposition(""b"")))"
Both a and b held previously.,"a : a, b : b",O(a) & O(b),"LAnd(Once(AtomicProposition(""a"")),Once(AtomicProposition(""b"")))"
It was historically the case that a was the same as b in the previous step.,"a : a, b : b",H(a <-> Y(b)),"Historically(LEquiv(AtomicProposition(""a""),Yesterday(AtomicProposition(""b""))))"
a held since b held or historically a held.,"a : a, b : b",H(a S b) | H(a),"LOr(Historically(Since(AtomicProposition(""a""), AtomicProposition(""b""))),Historically(AtomicProposition(""a"")))"
,,,MISSING_FORMULA
,,,MISSING_FORMULA
"Globally, if a held, then c was true since b.","a : a, b : b, c : c",H(a -> (c S b)),"Historically(LImplies(AtomicProposition(""a""),Since(AtomicProposition(""c""), AtomicProposition(""b""))))"
"a and b never occur at the same time, but one of them held in every time step.","a : a, b : b",H(!(a & b)) & H(a | b),"LAnd(Historically(Not(LAnd(AtomicProposition(""a""),AtomicProposition(""b"")))),Historically(LOr(AtomicProposition(""a""),AtomicProposition(""b""))))"
a can only happen if b happened before.,"a : a, b : b",H(a -> O(b)),"Historically(LImplies(AtomicProposition(""a""),Once(AtomicProposition(""b""))))"
a held since b held or historically a held.,"a : a, b : b",H(a S b) | H(a),"LOr(Historically(Since(AtomicProposition(""a""), AtomicProposition(""b""))),Historically(AtomicProposition(""a"")))"
A user cannot join and leave in the same state.,"“join"" : x1, “leave” : x2",H(!(x1 & x2)),"Historically(Not(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))"
An object version cannot be added and removed in the same state.,"“add"" : x1, “remove” : x2",H(!(x1 & x2)),"Historically(Not(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))"
A subject cannot be created and simultaneously killed. Also the subject cannot perform read or update operations in the same state in which it was created ,"“create"" : x1, “kill"" : x2, “read"" : x3, “update"" : x4",H(!(x1 &  (x2 | x3 | x4))),"Historically(Not(LAnd(AtomicProposition(""x1""),LOr(LOr(AtomicProposition(""x2""),AtomicProposition(""x3"")),AtomicProposition(""x4"")))))"
A version being updated to say v2 cannot be simultaneously read or further updated by any subject in the same state,"“update” : x1,”read” : x2",H(!(x1 &  (x2 | x1))),"Historically(Not(LAnd(AtomicProposition(""x1""),LOr(AtomicProposition(""x2""),AtomicProposition(""x1"")))))"
"If x1 was true, then previously x2 was true since x1 was false.","x1: x1, x2: x2",H(x1 -> O(x2 S !x1)),"Historically(LImplies(AtomicProposition(""x1""),Once(Since(AtomicProposition(""x2""), Not(AtomicProposition(""x1""))))))"
"If the state before the previous state before the previous state x1 was true, then previously x2 was false and x3 was true.","x1: x1, x2: x2, x3: x3",H(Y(Y(x1)) -> O(!x2 & x3)),"Historically(LImplies(Yesterday(Yesterday(AtomicProposition(""x1""))),Once(LAnd(Not(AtomicProposition(""x2"")),AtomicProposition(""x3"")))))"
"It was historically the case that x1 was true since x2 was true, and it was historically the case that x1 and x2 are false.","x1: x1, x2: x2",H(x1 S x2) & H(!x1 & !x2),"LAnd(Historically(Since(AtomicProposition(""x1""), AtomicProposition(""x2""))),Historically(LAnd(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x2"")))))"
It was historically the case that previously the state before the previous state before the previous state x1 was true.,x1: x1,H(O(Y(Y(x1)))),"Historically(Once(Yesterday(Yesterday(AtomicProposition(""x1"")))))"
"It was historically the case that if x1 was true, then x2 was false, and if x2 was true, then x1 was false.","x1: x1, x2: x2",H((x1 -> !x2) & (x2 -> !x1)),"Historically(LAnd(LImplies(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))),LImplies(AtomicProposition(""x2""),Not(AtomicProposition(""x1"")))))"
"It was historically the case that if the state before the previous state before the previous state x1 was true, then x2 was true.","x1: x1, x2: x2",H(Y(Y(x1)) -> x2),"Historically(LImplies(Yesterday(Yesterday(AtomicProposition(""x1""))),AtomicProposition(""x2"")))"
"Previously, it was historically the case that x1 was previously true.",x1: x1,O(H(O(x1))),"Once(Historically(Once(AtomicProposition(""x1""))))"
"It was historically the case that if in the previous state x1 was false, then x1 was true.",x1: x1,H(Y(!x1) -> x1),"Historically(LImplies(Yesterday(Not(AtomicProposition(""x1""))),AtomicProposition(""x1"")))"
"It was historically the case that if x1 was true, then x2 was false and x3 was false, and it was historically the case that if x2 or x3 was true, then x1 was false.","x1: x1, x2: x2, x3: x3",H((x1 -> (!x2 & !x3)) & ((x2 | x3) -> !x1)),"Historically(LAnd(LImplies(AtomicProposition(""x1""),LAnd(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3"")))),LImplies(LOr(AtomicProposition(""x2""),AtomicProposition(""x3"")),Not(AtomicProposition(""x1"")))))"
"It was historically the case that if x1 was true, then in the previous state x2 was true, and in the state before the previous state x3 was false.","x1: x1, x2: x2, x3: x3",H(x1 -> (Y(x2) & Y(Y(!x3)))),"Historically(LImplies(AtomicProposition(""x1""),LAnd(Yesterday(AtomicProposition(""x2"")),Yesterday(Yesterday(Not(AtomicProposition(""x3"")))))))"
"It was historically the case that if previously x1 was true, then in the previous state x1 was false, and if x2 was true, then x2 was false.","x1: x1, x2: x2",H(O(x1) -> Y(!x1)) & H(x2 -> Y(!x2)),"LAnd(Historically(LImplies(Once(AtomicProposition(""x1"")),Yesterday(Not(AtomicProposition(""x1""))))),Historically(LImplies(AtomicProposition(""x2""),Yesterday(Not(AtomicProposition(""x2""))))))"
"It was historically the case that if x1 was false, then it was historically the case that x1 was true or previously x2 was true.","x1: x1, x2: x2",H(!x1 -> (H(x1) | O(x2))),"Historically(LImplies(Not(AtomicProposition(""x1"")),LOr(Historically(AtomicProposition(""x1"")),Once(AtomicProposition(""x2"")))))"
"It was historically the case that if x1 was historically true, then previously x2 was true.","x1: x1, x2: x2",H(H(x1) -> O(x2)),"Historically(LImplies(Historically(AtomicProposition(""x1"")),Once(AtomicProposition(""x2""))))"
"x1 was true since x2 happens to be true, or it was historically the case that if x1 was true, then in the previous state x1 was false.","x1: x1, x2: x2",H(x1 S x2) | H(x1 -> Y(!x1)),"LOr(Historically(Since(AtomicProposition(""x1""), AtomicProposition(""x2""))),Historically(LImplies(AtomicProposition(""x1""),Yesterday(Not(AtomicProposition(""x1""))))))"
"Was it historically the case that in the previous state x1 was true, and previously if x1 was true, then x2 was true?","x1: x1, x2: x2",H(Y(x1)) & H(x1 -> O(x2)),"LAnd(Historically(Yesterday(AtomicProposition(""x1""))),Historically(LImplies(AtomicProposition(""x1""),Once(AtomicProposition(""x2"")))))"
"If in the previous state x1 was false since x1 was true, then previously x1 was false.",x1: x1,H(Y(!x1 S x1) -> O(!x1)),"Historically(LImplies(Yesterday(Since(Not(AtomicProposition(""x1"")), AtomicProposition(""x1""))),Once(Not(AtomicProposition(""x1"")))))"
"If previously x2 and x1 are true, then x1 was true since x2 happens to be true, or in the previous state x2 was true.","x1: x1, x2: x2",H(O(x1 & x2) -> (x1 S x2 | Y(x2))),"Historically(LImplies(Once(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),LOr(Since(AtomicProposition(""x1""), AtomicProposition(""x2"")),Yesterday(AtomicProposition(""x2"")))))"
"If x1 was true, then previously it was historically the case that in the previous state x1 was true.",x1: x1,H(x1 -> O(H(Y(x1)))),"Historically(LImplies(AtomicProposition(""x1""),Once(Historically(Yesterday(AtomicProposition(""x1""))))))"
"If previously x1, x2, and x3 are true, then x4 was true, and if it was not the case that previously x1, x2, and x3 are true, then x4 was false.","x1: x1, x2: x2, x3: x3, x4: x4",H(O(x1 & x2 & x3) -> x4) & H(!O(x1 & x2 & x3) -> !x4),"LAnd(Historically(LImplies(Once(LAnd(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),AtomicProposition(""x3""))),AtomicProposition(""x4""))),Historically(LImplies(Not(Once(LAnd(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),AtomicProposition(""x3"")))),Not(AtomicProposition(""x4"")))))"
"It was historically the case that if x1 was false, then x2 was false, and if x2 was false, then x1 was false. And previously x1 and x2 are true.","x1: x1, x2: x2",H((!x1 -> !x2) & (!x2 -> !x1)) & O(x1 & x2),"LAnd(Historically(LAnd(LImplies(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x2""))),LImplies(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x1""))))),Once(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))"
"In the previous state, if x1 was true, then in the state before the previous state before the previous state x2 was true.","x1: x1, x2: x2",H(Y(x1) -> Y(Y(x2))),"Historically(LImplies(Yesterday(AtomicProposition(""x1"")),Yesterday(Yesterday(AtomicProposition(""x2"")))))"
"It was historically the case that x1 was true and x2 was false, and if x1 was true, x2 cannot be true in the same state. Then it was historically the case that x2 was false.","x1: x1, x2: x2",H(x1 & !x2) & H(x1 -> !x2) & H(!x2),"LAnd(LAnd(Historically(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2"")))),Historically(LImplies(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))))),Historically(Not(AtomicProposition(""x2""))))"
"Previously, it was historically the case that x1 was true, or it was historically the case that previously x1 was true.",x1: x1,O(H(x1)) | H(O(x1)),"LOr(Once(Historically(AtomicProposition(""x1""))),Historically(Once(AtomicProposition(""x1""))))"
"If x1 was true, then previously x1 was false, and if x1 was false, then previously x1 was true.",x1: x1,H(x1 -> O(!x1)) & H(!x1 -> O(x1)),"LAnd(Historically(LImplies(AtomicProposition(""x1""),Once(Not(AtomicProposition(""x1""))))),Historically(LImplies(Not(AtomicProposition(""x1"")),Once(AtomicProposition(""x1"")))))"
x1 was true if and only if x2 was true since it was the case that x1 was since x3 was true.,"x1: x1, x2: x2, x3: x3",H(x1 <-> (x2 S (x1 S x3))),"Historically(LEquiv(AtomicProposition(""x1""),Since(AtomicProposition(""x2""), Since(AtomicProposition(""x1""), AtomicProposition(""x3"")))))"
"It was historically the case that x1 and x2 are false, and it was historically the case that x1 or x2 was true.","x1: x1, x2: x2",H(!x1 & !x2) & H(x1 | x2),"LAnd(Historically(LAnd(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x2"")))),Historically(LOr(AtomicProposition(""x1""),AtomicProposition(""x2""))))"
"It was historically the case that x1 or x2 was true, and in the previous state, it was historically the case that x2 was true.","x1: x1, x2: x2",H(x1 | x2) & H(Y(x2)),"LAnd(Historically(LOr(AtomicProposition(""x1""),AtomicProposition(""x2""))),Historically(Yesterday(AtomicProposition(""x2""))))"
"If it was historically the case that x1 was false and in the previous state x1 was true, then in the previous state previously x2 was true.","x1: x1, x2: x2",H(H(!x1) & Y(x1) -> Y(O(x2))),"Historically(LImplies(LAnd(Historically(Not(AtomicProposition(""x1""))),Yesterday(AtomicProposition(""x1""))),Yesterday(Once(AtomicProposition(""x2"")))))"
It was historically the case that previously x1 was true or previously x2 was true.,"x1: x1, x2: x2",H(O(x1) | O(x2)),"Historically(LOr(Once(AtomicProposition(""x1"")),Once(AtomicProposition(""x2""))))"
"If x1 was true, then in the previous state x1 was false, and previously x2 was true.","x1: x1, x2: x2",H(x1 -> (Y(!x1) & O(x2))),"Historically(LImplies(AtomicProposition(""x1""),LAnd(Yesterday(Not(AtomicProposition(""x1""))),Once(AtomicProposition(""x2"")))))"
"If previously x1 was true, then it was historically the case that x1 was true.",x1: x1,H(O(x1) -> H(x1)),"Historically(LImplies(Once(AtomicProposition(""x1"")),Historically(AtomicProposition(""x1""))))"
"It was historically the case that previously if x1 was true, then in the previous state x2 was true since x3 was false.","x1: x1, x2: x2, x3: x3",H(O(x1) -> (Y(x2) S !x3)),"Historically(LImplies(Once(AtomicProposition(""x1"")),Since(Yesterday(AtomicProposition(""x2"")), Not(AtomicProposition(""x3"")))))"
"It was historically the case that previously if x1 was true, then x1 was false.",x1: x1,H(O(x1) -> O(!x1)),"Historically(LImplies(Once(AtomicProposition(""x1"")),Once(Not(AtomicProposition(""x1"")))))"
"It was historically the case that previously it was historically the case that x1 was true, and previously it was historically the case that previously x2 was true.","x1: x1, x2: x2",H(O(H(x1)) & O(H(O(x2)))),"Historically(LAnd(Once(Historically(AtomicProposition(""x1""))),Once(Historically(Once(AtomicProposition(""x2""))))))"
"If Red was initially lit, then it was also lit before three steps.","“red"" : x1",x1 -> Y(Y(Y(x1))),"LImplies(AtomicProposition(""x1""),Yesterday(Yesterday(Yesterday(AtomicProposition(""x1"")))))"
Red was lit before 3 or more steps.,"“red"" : x1",O(Y(Y(Y(x1)))),"Once(Yesterday(Yesterday(Yesterday(AtomicProposition(""x1"")))))"
"If Red was previously lit, then Blue was historically lit.","“red” : x1, “blue” : x2",O(x1) -> H(x2),"LImplies(Once(AtomicProposition(""x1"")),Historically(AtomicProposition(""x2"")))"
"If Red was initially lit, then it was also lit before three steps.",“red” : x1,x1 -> Y(Y(Y(x1))),"LImplies(AtomicProposition(""x1""),Yesterday(Yesterday(Yesterday(AtomicProposition(""x1"")))))"
"Blue was previously lit, and Red was historically lit.","“red” : x1, “blue” : x2",O(x2) & H(x1),"LAnd(Once(AtomicProposition(""x2"")),Historically(AtomicProposition(""x1"")))"
"Whenever Red was lit, it turns off in the previous state and on again in the state before that.",“red” : x1,H(x1 -> (Y(!x1) & Y(Y(x1)))),"Historically(LImplies(AtomicProposition(""x1""),LAnd(Yesterday(Not(AtomicProposition(""x1""))),Yesterday(Yesterday(AtomicProposition(""x1""))))))"
"If the engine was on, the engine will be on 3 states from now.","""Engine on” : x1",H(x1 -> Y(Y(Y(x1)))),"Historically(LImplies(AtomicProposition(""x1""),Yesterday(Yesterday(Yesterday(AtomicProposition(""x1""))))))"
"Before two states have passed, previously the engine before these the previous state will be on.","""Engine on” : x1",H(Y(Y(O(Y(x1))))),"Historically(Yesterday(Yesterday(Once(Yesterday(AtomicProposition(""x1""))))))"
"If the engine previously turns on, then the light was historically on.","""Engine on” : x1, “blue"" : x2",O(x1) -> H(x2),"LImplies(Once(AtomicProposition(""x1"")),Historically(AtomicProposition(""x2"")))"
"The engine will be on since the light turns on, and the engine was historically on.","""Engine on” : x1, ""Light on” : x2",H(x1 S x2) & H(x1),"LAnd(Historically(Since(AtomicProposition(""x1""), AtomicProposition(""x2""))),Historically(AtomicProposition(""x1"")))"
"If the engine was on, then in the previous state the engine was not on, and two states later it turns back on.","""Engine on” : x1",H(x1 -> (Y(!x1) & Y(Y(x1)))),"Historically(LImplies(AtomicProposition(""x1""),LAnd(Yesterday(Not(AtomicProposition(""x1""))),Yesterday(Yesterday(AtomicProposition(""x1""))))))"
It was not the case that once x1 was false.,x1: x1,!O(!x1),"Not(Once(Not(AtomicProposition(""x1""))))"
"It was historically the case that x1 was true, and historically x2 was true since x1 was true, and once x2 remains true.","x1: x1, x2: x2",H(x1) & H(x2 S x1) & O(H(x2)),"LAnd(LAnd(Historically(AtomicProposition(""x1"")),Historically(Since(AtomicProposition(""x2""), AtomicProposition(""x1"")))),Once(Historically(AtomicProposition(""x2""))))"
"It was historically the case that x1 was true and x2 was false, and once x3 was true.","x1: x1, x2: x2, x3: x3",H(x1 & !x2) & O(x3),"LAnd(Historically(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2"")))),Once(AtomicProposition(""x3"")))"
"It was historically the case that once if x1 was true, then once historically x1 will be true.","x1: x1, x2: x2",H(O(x1) -> O(H(x1))),"Historically(LImplies(Once(AtomicProposition(""x1"")),Once(Historically(AtomicProposition(""x1"")))))"
"If x1 was true and x2 was false, then once x1 was false since x2 happens.","x1: x1, x2: x2",H((x1 & !x2) -> O(!x1 S x2)),"Historically(LImplies(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))),Once(Since(Not(AtomicProposition(""x1"")), AtomicProposition(""x2"")))))"
"If once x1 and x2 are true, then historically if x1 was true, then x2 was true, and if x2 was true, then x1 was true.","x1: x1, x2: x2",H(O(x1 & x2) -> (H(x1 -> x2) & H(x2 -> x1))),"Historically(LImplies(Once(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),LAnd(Historically(LImplies(AtomicProposition(""x1""),AtomicProposition(""x2""))),Historically(LImplies(AtomicProposition(""x2""),AtomicProposition(""x1""))))))"
It was not the case that historically x1 was true since historically x1 was false.,x1: x1,!H(x1 S H(!x1)),"Not(Historically(Since(AtomicProposition(""x1""), Historically(Not(AtomicProposition(""x1""))))))"
"Once, if x1 was true, then historically x1 was true since x1 was false.",x1: x1,O(x1 -> H(x1 S !x1)),"Once(LImplies(AtomicProposition(""x1""),Historically(Since(AtomicProposition(""x1""), Not(AtomicProposition(""x1""))))))"
"It was historically the case that if x1 was true, then in the previous state x1 was false, and if x1 was false, then in the previous state x1 will be true.",x1: x1,H((x1 -> Y(!x1)) & (!x1 -> Y(x1))),"Historically(LAnd(LImplies(AtomicProposition(""x1""),Yesterday(Not(AtomicProposition(""x1"")))),LImplies(Not(AtomicProposition(""x1"")),Yesterday(AtomicProposition(""x1"")))))"
It was historically the case that once in the previous state x1 will be true.,x1: x1,H(O(Y(x1))),"Historically(Once(Yesterday(AtomicProposition(""x1""))))"
"It was historically the case that x1 was true, and it was historically the case that x1 was false.",x1: x1,H(x1) & H(!x1),"LAnd(Historically(AtomicProposition(""x1"")),Historically(Not(AtomicProposition(""x1""))))"
"If the state before the previous state x1 was true, then in the previous state x1 was true.",x1: x1,H(Y(Y(x1)) -> Y(x1)),"Historically(LImplies(Yesterday(Yesterday(AtomicProposition(""x1""))),Yesterday(AtomicProposition(""x1""))))"
"Once x1 was true, and it was historically the case that x1 was false.",x1: x1,O(x1) & H(!x1),"LAnd(Once(AtomicProposition(""x1"")),Historically(Not(AtomicProposition(""x1""))))"
"It was historically the case that once x2 was true since, in the previous state, x1 was true.","x1: x1, x2: x2",H(O(x2) S Y(x1)),"Historically(Since(Once(AtomicProposition(""x2"")), Yesterday(AtomicProposition(""x1""))))"
"In the previous state, it was historically the case that if x1 was true, then once x1 was true.",x1: x1,H(Y(x1) -> O(x1)),"Historically(LImplies(Yesterday(AtomicProposition(""x1"")),Once(AtomicProposition(""x1""))))"
"x3 was true since x1 was true, or x3 was historically true, and once x2 was true.","x1: x1, x2: x2, x3: x3",H(x3 S x1) | (H(x3) & O(x2)),"LOr(Historically(Since(AtomicProposition(""x3""), AtomicProposition(""x1""))),LAnd(Historically(AtomicProposition(""x3"")),Once(AtomicProposition(""x2""))))"
"If x1 was true, x1 must be true in the previous state.",x1: x1,H(x1 -> Y(x1)),"Historically(LImplies(AtomicProposition(""x1""),Yesterday(AtomicProposition(""x1""))))"
"Once, it was historically the case that if x1 was true, then in the previous state x1 was true, and in the state before the previous state x1 was false, and historically if x1 was false, then in the previous state x1 was false, and then the state before the previous state was true.",x1: x1,O(H((x1 -> (Y(x1) & Y(Y(!x1)))) & (!x1 -> (Y(!x1) & Y(Y(x1)))))),"Once(Historically(LAnd(LImplies(AtomicProposition(""x1""),LAnd(Yesterday(AtomicProposition(""x1"")),Yesterday(Yesterday(Not(AtomicProposition(""x1"")))))),LImplies(Not(AtomicProposition(""x1"")),LAnd(Yesterday(Not(AtomicProposition(""x1""))),Yesterday(Yesterday(AtomicProposition(""x1""))))))))"
"If x1 was true, then it was historically the case that x2 was false, and once x1 was false since x1 was true.","x1: x1, x2: x2",H(x1 -> (H(!x2) & O(!x1 S x1))),"Historically(LImplies(AtomicProposition(""x1""),LAnd(Historically(Not(AtomicProposition(""x2""))),Once(Since(Not(AtomicProposition(""x1"")), AtomicProposition(""x1""))))))"
"It was historically the case that x1 was true since x1 was false, and x1 was false since x1 was true.",x1: x1,H(x1 S !x1) & H(!x1 S x1),"LAnd(Historically(Since(AtomicProposition(""x1""), Not(AtomicProposition(""x1"")))),Historically(Since(Not(AtomicProposition(""x1"")), AtomicProposition(""x1""))))"
"Once, x1 was true if and only if in the previous state x2 was false, or it was historically the case that x2 was true.","x1: x1, x2: x2",O(x1 <-> (Y(!x2) | H(x2))),"Once(LEquiv(AtomicProposition(""x1""),LOr(Yesterday(Not(AtomicProposition(""x2""))),Historically(AtomicProposition(""x2"")))))"
"It was historically the case that if x2 was true, then it was not the case that once x1 was true, and if x3 was true, then it was not the case that once x2 was true.","x1: x1, x2: x2, x3: x3",H((x2 -> !O(x1)) & (x3 -> !O(x2))),"Historically(LAnd(LImplies(AtomicProposition(""x2""),Not(Once(AtomicProposition(""x1"")))),LImplies(AtomicProposition(""x3""),Not(Once(AtomicProposition(""x2""))))))"
"Once, it was historically the case that x1 was true since x2 was true.","x1: x1, x2: x2",O(H(x1 S x2)),"Once(Historically(Since(AtomicProposition(""x1""), AtomicProposition(""x2""))))"
"If x1 and x2 are true, then in the previous state x3 was true, and in the state before the previous state x3 was false.","x1: x1, x2: x2, x3: x3",H((x1 & x2) -> (Y(x3) & Y(Y(!x3)))),"Historically(LImplies(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),LAnd(Yesterday(AtomicProposition(""x3"")),Yesterday(Yesterday(Not(AtomicProposition(""x3"")))))))"
"If x1 was true, then in the previous state x1 was true, and if in the previous state x1 was true, then it was the case that in the state before the previous state x1 was true.",x1: x1,H(x1 -> Y(x1)) & H(Y(x1) -> Y(Y(x1))),"LAnd(Historically(LImplies(AtomicProposition(""x1""),Yesterday(AtomicProposition(""x1"")))),Historically(LImplies(Yesterday(AtomicProposition(""x1"")),Yesterday(Yesterday(AtomicProposition(""x1""))))))"
"x1 went first, then x2 went, then x3 went.","x1: x1, x2: x2, x3: x3",(x1 & !x2 & !x3) S (x2 & !x3) S x3,"Since(LAnd(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))),Not(AtomicProposition(""x3""))), Since(LAnd(AtomicProposition(""x2""),Not(AtomicProposition(""x3""))), AtomicProposition(""x3"")))"
"For a while, it was never the case that x1 was true and x2 was false at the same time, but after some point, x2 remained true.","x1: x1, x2: x2",(H (x1 -> x2)) S (H x2),"Since(Historically(LImplies(AtomicProposition(""x1""),AtomicProposition(""x2""))), Historically(AtomicProposition(""x2"")))"
"x3 had been true if and only if x1 and x2 had been true in the previous state, and x1 and x2 had been true at some point earlier.","x1: x1, x2: x2",H(x3 <-> (Y(x1 & x2) & Y(x1 & x2))),"Historically(LEquiv(AtomicProposition(""x3""),LAnd(Yesterday(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),Yesterday(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))))"
"x1 had sometimes been true until x2 became true, and must have been false afterward.","x1: x1, x2: x2",(x1 S !x2) & H(x2 -> !x1),"LAnd(Since(AtomicProposition(""x1""), Not(AtomicProposition(""x2""))),Historically(LImplies(AtomicProposition(""x2""),Not(AtomicProposition(""x1"")))))"
"It had always been the case that once x1 had been true, x2 became true. x3 had not been true until both x1 and x2 had been true.","x1: x1, x2: x2",H((Y(x1) -> x2) & (x3 S (x1 & x2))),"Historically(LAnd(LImplies(Yesterday(AtomicProposition(""x1"")),AtomicProposition(""x2"")),Since(AtomicProposition(""x3""), LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")))))"
